"Date","FlightNumber","Segment","PaxNumber","Total bags","Masse Totale"
20221001,HC101,DSS-CSK,43,46,1168
20221001,HC102,CSK-DSS,40,43,1989
20221001,HC105,CSK-DSS,45,47,1304
20221001,HC105,DSS-CSK,33,35,1132
20221001,HC204,BJL-DSS,34,37,1475
20221001,HC205,DSS-NKC,18,24,744
20221001,HC206,NKC-DSS,11,12,469
20221001,HC209,DSS-CKY,56,98,4178
20221001,HC210,CKY-DSS,41,62,2270
20221001,HC213,BJL-FNA,8,12,378
20221001,HC213,DSS-BJL,22,23,536
20221001,HC214,BJL-DSS,21,21,530
20221001,HC214,FNA-BJL,16,18,454
20221001,HC303,DSS-ABJ,49,80,2075
20221001,HC304,ABJ-DSS,88,160,5130
20221001,HC331,DSS-CMN,43,76,2620
20221001,HC332,CMN-DSS,48,89,2856
20221001,HC341,COO-DLA,19,40,1242
20221001,HC341,DLA-LBV,19,36,972
20221001,HC341,DSS-COO,24,52,1969
20221001,HC342,COO-DSS,49,101,3567
20221001,HC342,DLA-COO,26,43,1339
20221001,HC342,LBV-DLA,28,41,1112
20221001,HC403,DSS-CDG,159,282,10602
20221001,HC404,CDG-DSS,151,290,10026
20221001,HC417,DSS-MXP,72,123,9112
20221001,HC418,MXP-DSS,60,125,5709
20221002,HC101,DSS-CSK,34,36,1067
20221002,HC102,CSK-DSS,37,39,1201
20221002,HC105,CSK-DSS,38,40,1230
20221002,HC105,DSS-CSK,26,29,859
20221002,HC109,DSS-CSK,28,31,954
20221002,HC110,CSK-DSS,30,31,1003
20221002,HC203,DSS-BJL,36,42,1542
20221002,HC204,BJL-DSS,11,13,304
20221002,HC205,DSS-NKC,27,29,1170
20221002,HC206,NKC-DSS,14,14,300
20221002,HC207,DSS-RAI,15,15,367
20221002,HC208,RAI-DSS,20,22,731
20221002,HC209,DSS-CKY,82,140,6753
20221002,HC210,CKY-DSS,59,90,3130
20221002,HC301,DSS-BKO,60,97,3702
20221002,HC302,BKO-DSS,42,68,2345
20221002,HC303,DSS-ABJ,73,113,2687
20221002,HC304,ABJ-DSS,101,180,5273
20221002,HC403,DSS-CDG,147,250,9048
20221002,HC404,CDG-DSS,128,250,10290
20221002,HC407,DSS-JFK,64,136,4352
20221002,HC408,JFK-DSS,68,186,6942
20221002,HC423,DSS-BCN,63,102,2466
20221002,HC424,BCN-DSS,74,156,5314
20221002,HC427,DSS-MRS,32,57,1922
20221002,HC427,LYS-DSS,27,52,1405
20221003,HC101,DSS-CSK,41,51,1470
20221003,HC102,CSK-DSS,27,28,815
20221003,HC105,CSK-DSS,24,25,575
20221003,HC105,DSS-CSK,27,27,772
20221003,HC109,DSS-CSK,26,28,744
20221003,HC110,CSK-DSS,23,24,727
20221003,HC201,DSS-OXB,13,17,480
20221003,HC202,OXB-DSS,13,13,404
20221003,HC207,DSS-RAI,20,32,729
20221003,HC208,RAI-DSS,19,25,655
20221003,HC209,DSS-CKY,44,76,3713
20221003,HC210,CKY-DSS,47,72,2552
20221003,HC213,BJL-FNA,3,5,100
20221003,HC213,DSS-BJL,35,39,1052
20221003,HC214,BJL-DSS,19,22,485
20221003,HC214,FNA-BJL,3,4,69
20221003,HC303,DSS-ABJ,55,90,2183
20221003,HC304,ABJ-DSS,62,130,4014
20221003,HC331,DSS-CMN,45,80,2236
20221003,HC332,CMN-DSS,52,91,2817
20221003,HC341,COO-DLA,22,41,1164
20221003,HC341,DLA-LBV,25,39,1041
20221003,HC341,DSS-COO,30,43,1550
20221003,HC342,COO-DSS,45,98,3930
20221003,HC342,DLA-COO,22,41,1028
20221003,HC342,LBV-DLA,16,27,806
20221003,HC403,DSS-CDG,138,263,10604
20221003,HC404,CDG-DSS,126,241,8566
20221003,HC417,DSS-MXP,76,124,5282
20221003,HC418,MXP-DSS,53,103,4734

